DFHG Author,LOFTS urn
AMPHION THESPIENSIS,urn:lofts:fhg.4.amphion_thespiensis
ANAXICRATES,urn:lofts:fhg.4.anaxicrates
ANAXILAUS,urn:lofts:fhg.4.anaxilaus
ANDREAS PANORMITANUS,urn:lofts:fhg.4.andreas_panormitanus
ANDRISCUS,urn:lofts:fhg.4.andriscus
ANDROETAS TENEDIUS,urn:lofts:fhg.4.androetas_tenedius
ANDRONICUS ALYPIUS,urn:lofts:fhg.4.andronicus_alypius
ANTENOR,urn:lofts:fhg.4.antenor
ANTIGONUS,urn:lofts:fhg.4.antigonus
ANTILEO,urn:lofts:fhg.4.antileo
ANTILOCHUS,urn:lofts:fhg.4.antilochus
ANTIMACHUS,urn:lofts:fhg.4.antimachus
ANTIOCHUS,urn:lofts:fhg.4.antiochus
ANTIPATER,urn:lofts:fhg.4.antipater
APELLAS SIVE APOLLAS PONTICUS,urn:lofts:fhg.4.apellas_sive_apollas_ponticus
APHRODISIUS VEL EUPHEMIUS,urn:lofts:fhg.4.aphrodisius_vel_euphemius
APOLLODORUS ARTEMITEN,urn:lofts:fhg.4.apollodorus_artemiten
APOLLODORUS ERYTHRAEUS,urn:lofts:fhg.4.apollodorus_erythraeus
APOLLONIDES HORAPION,urn:lofts:fhg.4.apollonides_horapion
APOLLONIUS APHRODISIENSIS,urn:lofts:fhg.4.apollonius_aphrodisiensis
APOLLONIUS ASCALONITA,urn:lofts:fhg.4.apollonius_ascalonita
APOLLONIUS ACHARNENSES,urn:lofts:fhg.4.apollonius_acharnenses
APOLLONIUS RHODIUS,urn:lofts:fhg.4.apollonius_rhodius
APOLLOTHEMIS,urn:lofts:fhg.4.apollothemis
ARCHEMACHUS EUBOEUS,urn:lofts:fhg.4.archemachus_euboeus
ARETADES CNIDIUS,urn:lofts:fhg.4.aretades_cnidius
ARETES DYRRACHINUS,urn:lofts:fhg.4.aretes_dyrrachinus
ARCHINUS,urn:lofts:fhg.4.archinus
ARCHITIMUS,urn:lofts:fhg.4.architimus
ARIAETHUS TEGEATA,urn:lofts:fhg.4.ariaethus_tegeata
ARISTAENETUS,urn:lofts:fhg.4.aristaenetus
ARISTEAS ARGIVUS,urn:lofts:fhg.4.aristeas_argivus
ARISTIDES MILESIUS,urn:lofts:fhg.4.aristides_milesius
ARISTIPPUS,urn:lofts:fhg.4.aristippus
ARISTO PELLAEUS,urn:lofts:fhg.4.aristo_pellaeus
ARISTOBULUS,urn:lofts:fhg.4.aristobulus
ARISTOCLES,urn:lofts:fhg.4.aristocles
ARISTOCRATES,urn:lofts:fhg.4.aristocrates
ARISTOCREON,urn:lofts:fhg.4.aristocreon
ARISTOCRITUS,urn:lofts:fhg.4.aristocritus
ARISTOMENES,urn:lofts:fhg.4.aristomenes
ARISTONICUS TARENTINUS,urn:lofts:fhg.4.aristonicus_tarentinus
ARISTONYMUS,urn:lofts:fhg.4.aristonymus
ARISTOPHANES BOEOTUS,urn:lofts:fhg.4.aristophanes_boeotus
ARMENIDAS,urn:lofts:fhg.4.armenidas
ARTEMIDORUS ASCALONITA,urn:lofts:fhg.4.artemidorus_ascalonita
ARTEMON CLAZOMENIUS,urn:lofts:fhg.4.artemon_clazomenius
ARTEMON PERGAMENUS,urn:lofts:fhg.4.artemon_pergamenus
ARTEMON CASSANDRENSIS,urn:lofts:fhg.4.artemon_cassandrensis
ASTYNOMUS,urn:lofts:fhg.4.astynomus
ATHANADAS,urn:lofts:fhg.4.athanadas
ATHENAEUS,urn:lofts:fhg.4.athenaeus
ATHENICON,urn:lofts:fhg.4.athenicon
ATHENOCLES,urn:lofts:fhg.4.athenocles
ATHENODORUS ERETRIENSIS,urn:lofts:fhg.4.athenodorus_eretriensis
AUGEAS,urn:lofts:fhg.4.augeas
AUTESION,urn:lofts:fhg.4.autesion
AUTOCHARIS,urn:lofts:fhg.4.autocharis
AUTOCRATES,urn:lofts:fhg.4.autocrates
BALAGER,urn:lofts:fhg.4.balager
BASILIS,urn:lofts:fhg.4.basilis
BATON SINOPENSIS,urn:lofts:fhg.4.baton_sinopensis
BION SOLENSIS,urn:lofts:fhg.4.bion_solensis
BOTRYAS MYNDIUS,urn:lofts:fhg.4.botryas_myndius
BRUTTIUS sive BRETTIUS,urn:lofts:fhg.4.bruttius_sive_brettius
BUTORIDES,urn:lofts:fhg.4.butorides
CAEMARO,urn:lofts:fhg.4.caemaro
CALLICRATES,urn:lofts:fhg.4.callicrates
CALLIDEMUS,urn:lofts:fhg.4.callidemus
CALLIPHANES,urn:lofts:fhg.4.calliphanes
CALLIPPUS CORINTHIUS,urn:lofts:fhg.4.callippus_corinthius
DOMITIUS CALLISTRATUS,urn:lofts:fhg.4.domitius_callistratus
CARYSTIUS PERGAMENUS,urn:lofts:fhg.4.carystius_pergamenus
CASSANDER SALAMINIUS,urn:lofts:fhg.4.cassander_salaminius
CERCIDAS MEGALOPOLITANUS,urn:lofts:fhg.4.cercidas_megalopolitanus
CHARICLES,urn:lofts:fhg.4.charicles
CHARON NAUCRATITES,urn:lofts:fhg.4.charon_naucratites
CHRESTODEMUS,urn:lofts:fhg.4.chrestodemus
CHRISTODORUS,urn:lofts:fhg.4.christodorus
CHRYSERMUS CORINTHIUS,urn:lofts:fhg.4.chrysermus_corinthius
CHRYSIPPUS,urn:lofts:fhg.4.chrysippus
CLAUDIUS IOLAUS,urn:lofts:fhg.4.claudius_iolaus
CLAUDIUS THEON,urn:lofts:fhg.4.claudius_theon
CLODIUS NEAPOLITANUS,urn:lofts:fhg.4.clodius_neapolitanus
CLEMENS,urn:lofts:fhg.4.clemens
CLEOBULUS,urn:lofts:fhg.4.cleobulus
CLEON MAGNESIUS,urn:lofts:fhg.4.cleon_magnesius
CLEON SYRACUSANUS,urn:lofts:fhg.4.cleon_syracusanus
CLINIAS,urn:lofts:fhg.4.clinias
CLEOPHANES,urn:lofts:fhg.4.cleophanes
CLEOPHORUS,urn:lofts:fhg.4.cleophorus
CLITONYMUS,urn:lofts:fhg.4.clitonymus
CLITOPHON RHODIUS,urn:lofts:fhg.4.clitophon_rhodius
CONON,urn:lofts:fhg.4.conon
COSMES,urn:lofts:fhg.4.cosmes
CRATES ATHENIENSIS,urn:lofts:fhg.4.crates_atheniensis
CREON VEL PAEON AMATHUSIUS,urn:lofts:fhg.4.creon_vel_paeon_amathusius
CREOPHYLUS,urn:lofts:fhg.4.creophylus
CRITOLAUS,urn:lofts:fhg.4.critolaus
CRITON PIERIOTA,urn:lofts:fhg.4.criton_pieriota
CTESICLES,urn:lofts:fhg.4.ctesicles
CTESIPHON,urn:lofts:fhg.4.ctesiphon
CTESIPPUS,urn:lofts:fhg.4.ctesippus
CYDIPPUS MANTINENSIS,urn:lofts:fhg.4.cydippus_mantinensis
DAES COLONENSIS,urn:lofts:fhg.4.daes_colonensis
DALION,urn:lofts:fhg.4.dalion
DAMON,urn:lofts:fhg.4.damon
DAMOCRITUS,urn:lofts:fhg.4.damocritus
DEMADES,urn:lofts:fhg.4.demades
DEMAGORAS SAMIUS,urn:lofts:fhg.4.demagoras_samius
DEMARATUS,urn:lofts:fhg.4.demaratus
DEMETRIUS CALLATIANUS,urn:lofts:fhg.4.demetrius_callatianus
DEMETRIUS ERYTHRAEUS,urn:lofts:fhg.4.demetrius_erythraeus
DEMETRIUS ILIENSIS,urn:lofts:fhg.4.demetrius_iliensis
DEMETRIUS ODESSANUS,urn:lofts:fhg.4.demetrius_odessanus
DEMETRIUS SALAMINIUS,urn:lofts:fhg.4.demetrius_salaminius
DEMOCRITUS EPHESIUS,urn:lofts:fhg.4.democritus_ephesius
DEMOGNETUS,urn:lofts:fhg.4.demognetus
DEMOSTHENES BITHYNUS,urn:lofts:fhg.4.demosthenes_bithynus
DEMOTELES,urn:lofts:fhg.4.demoteles
DERCYLUS (ARGIVUS),urn:lofts:fhg.4.dercylus_argivus
DIEUCHIDAS,urn:lofts:fhg.4.dieuchidas
DINARCHUS,urn:lofts:fhg.4.dinarchus
DION ACADEMICUS,urn:lofts:fhg.4.dion_academicus
DIOGENES CYZICENUS,urn:lofts:fhg.4.diogenes_cyzicenus
DIOGENES SICYONIUS,urn:lofts:fhg.4.diogenes_sicyonius
DIONYSIUS CHALCIDENSIS,urn:lofts:fhg.4.dionysius_chalcidensis
DIOPHANTUS,urn:lofts:fhg.4.diophantus
DIOPHANTUS LACEDAEMONIUS,urn:lofts:fhg.4.diophantus_lacedaemonius
AELIUS DIUS,urn:lofts:fhg.4.aelius_dius
DOSIADES,urn:lofts:fhg.4.dosiades
DOSITHEUS,urn:lofts:fhg.4.dositheus
DRACO,urn:lofts:fhg.4.draco
ECHEMENES,urn:lofts:fhg.4.echemenes
ECHEPHYLIDAS,urn:lofts:fhg.4.echephylidas
EMPODUS,urn:lofts:fhg.4.empodus
EPAPHUS,urn:lofts:fhg.4.epaphus
EPARCHIDES,urn:lofts:fhg.4.eparchides
EPIMENIDES,urn:lofts:fhg.4.epimenides
ERGIAS RHODIUS,urn:lofts:fhg.4.ergias_rhodius
ERXIAS,urn:lofts:fhg.4.erxias
EUAGORAS LINDIUS,urn:lofts:fhg.4.euagoras_lindius
EUALCES,urn:lofts:fhg.4.eualces
EUANORIDAS ELEUS,urn:lofts:fhg.4.euanoridas_eleus
EUCRATES,urn:lofts:fhg.4.eucrates
EUDOXUS RHODIUS,urn:lofts:fhg.4.eudoxus_rhodius
EUEMERIDAS CNIDIUS,urn:lofts:fhg.4.euemeridas_cnidius
EUELPIS CARYSTIUS,urn:lofts:fhg.4.euelpis_carystius
EUTHYMENES,urn:lofts:fhg.4.euthymenes
GLAUCIPPUS,urn:lofts:fhg.4.glaucippus
GLAUCUS,urn:lofts:fhg.4.glaucus
GORGIAS ATHENIENSIS,urn:lofts:fhg.4.gorgias_atheniensis
GORGON,urn:lofts:fhg.4.gorgon
HARMODIUS LEPREATES,urn:lofts:fhg.4.harmodius_lepreates
AELIUS HARPOCRATION,urn:lofts:fhg.4.aelius_harpocration
(HEGEMON ALEXANDRENSIS),urn:lofts:fhg.4.hegemon_alexandrensis
HEGESANDER DELPHUS,urn:lofts:fhg.4.hegesander_delphus
HEGESANDER SALAMINIUS,urn:lofts:fhg.4.hegesander_salaminius
HEGESIDEMUS CYTHNIUS,urn:lofts:fhg.4.hegesidemus_cythnius
HEGESIPPUS MECYBERNAEUS,urn:lofts:fhg.4.hegesippus_mecybernaeus
HELIODORUS ATHENIENSIS,urn:lofts:fhg.4.heliodorus_atheniensis
HERACLITUS LESBIUS,urn:lofts:fhg.4.heraclitus_lesbius
HEREAS,urn:lofts:fhg.4.hereas
HERMAEUS (HERMEAS),urn:lofts:fhg.4.hermaeus
HERMESIANAX CYPRIUS,urn:lofts:fhg.4.hermesianax_cyprius
HERMESIANAX COLOPHONIUS,urn:lofts:fhg.4.hermesianax_colophonius
HERON ATHENIENSIS,urn:lofts:fhg.4.heron_atheniensis
HEROPYTHUS,urn:lofts:fhg.4.heropythus
HICESIUS,urn:lofts:fhg.4.hicesius
HIERO,urn:lofts:fhg.4.hiero
HIEROCLES,urn:lofts:fhg.4.hierocles
HIPPAGORAS,urn:lofts:fhg.4.hippagoras
HIPPASUS LACEDAEMONIUS,urn:lofts:fhg.4.hippasus_lacedaemonius
HIPPIAS ERYTHRAEUS,urn:lofts:fhg.4.hippias_erythraeus
HIPPOSTRATUS,urn:lofts:fhg.4.hippostratus
HISTIAEUS,urn:lofts:fhg.4.histiaeus
HYPERMENES,urn:lofts:fhg.4.hypermenes
HYPEROCHUS CUMANUS,urn:lofts:fhg.4.hyperochus_cumanus
HYPSICRATES,urn:lofts:fhg.4.hypsicrates
ISIGONUS NICAEENSIS,urn:lofts:fhg.4.isigonus_nicaeensis
LAETUS,urn:lofts:fhg.4.laetus
LAMISCUS SAMIUS,urn:lofts:fhg.4.lamiscus_samius
LAOSTHENIDAS,urn:lofts:fhg.4.laosthenidas
LEOCRINES,urn:lofts:fhg.4.leocrines
(LEONIDES),urn:lofts:fhg.4.leonides
LINUS OECHALIENSIS,urn:lofts:fhg.4.linus_oechaliensis
LEPIDUS,urn:lofts:fhg.4.lepidus
LUCILLUS TARRHAEUS,urn:lofts:fhg.4.lucillus_tarrhaeus
LYCEAS NAUCRATITA,urn:lofts:fhg.4.lyceas_naucratita
LYSANIAS MALLOTES,urn:lofts:fhg.4.lysanias_mallotes
MACAREUS,urn:lofts:fhg.4.macareus
MALACUS,urn:lofts:fhg.4.malacus
MARCELLUS,urn:lofts:fhg.4.marcellus
MEGACLES (MEGACLIDES),urn:lofts:fhg.4.megacles
MELANTHIUS,urn:lofts:fhg.4.melanthius
MELANTHIUS PICTOR,urn:lofts:fhg.4.melanthius_pictor
MELISSEUS,urn:lofts:fhg.4.melisseus
MELITO,urn:lofts:fhg.4.melito
MENANDER EPHESIUS,urn:lofts:fhg.4.menander_ephesius
MENECLES BARCAEUS,urn:lofts:fhg.4.menecles_barcaeus
MENELAUS ANAEUS,urn:lofts:fhg.4.menelaus_anaeus
MENESTHENES,urn:lofts:fhg.4.menesthenes
MENETOR,urn:lofts:fhg.4.menetor
MENIPPUS,urn:lofts:fhg.4.menippus
MENYLLUS,urn:lofts:fhg.4.menyllus
METROPHANES,urn:lofts:fhg.4.metrophanes
MNESIMACHUS,urn:lofts:fhg.4.mnesimachus
MNASIGITON,urn:lofts:fhg.4.mnasigiton
MOLPIS LACO,urn:lofts:fhg.4.molpis_laco
MONIMUS,urn:lofts:fhg.4.monimus
MYRONIANUS AMASTRIANUS,urn:lofts:fhg.4.myronianus_amastrianus
MYES,urn:lofts:fhg.4.myes
MYRSILUS METHYMNAEUS,urn:lofts:fhg.4.myrsilus_methymnaeus
MYRON PRIENENSIS,urn:lofts:fhg.4.myron_prienensis
NICANDER CHALCEDONIUS,urn:lofts:fhg.4.nicander_chalcedonius
NICANDER ALEXANDRINUS,urn:lofts:fhg.4.nicander_alexandrinus
NICANDER THYATIRENUS,urn:lofts:fhg.4.nicander_thyatirenus
NICIAS,urn:lofts:fhg.4.nicias
NICIAS MALEOTES,urn:lofts:fhg.4.nicias_maleotes
NICIAS NICAEENSIS,urn:lofts:fhg.4.nicias_nicaeensis
NICOCLES LACEDAEMONIUS,urn:lofts:fhg.4.nicocles_lacedaemonius
NICOMACHUS,urn:lofts:fhg.4.nicomachus
NICOMEDES ACANTHIUS,urn:lofts:fhg.4.nicomedes_acanthius
NICOCRATES,urn:lofts:fhg.4.nicocrates
NICOSTRATUS,urn:lofts:fhg.4.nicostratus
OLYMPICHUS,urn:lofts:fhg.4.olympichus
PAMPHILUS,urn:lofts:fhg.4.pamphilus
PAPPUS,urn:lofts:fhg.4.pappus
PARTHAX,urn:lofts:fhg.4.parthax
PASITELES,urn:lofts:fhg.4.pasiteles
PAUSANIAS LACO,urn:lofts:fhg.4.pausanias_laco
PAUSANIAS DAMASCENUS,urn:lofts:fhg.4.pausanias_damascenus
PAUSIMACHUS SAMIUS,urn:lofts:fhg.4.pausimachus_samius
(PAXAMUS),urn:lofts:fhg.4.paxamus
PETELLIDES CNOSSIUS,urn:lofts:fhg.4.petellides_cnossius
PHAESTUS,urn:lofts:fhg.4.phaestus
PHANOCRITUS,urn:lofts:fhg.4.phanocritus
PHANODICUS,urn:lofts:fhg.4.phanodicus
PHARNUCHUS NISIBENUS,urn:lofts:fhg.4.pharnuchus_nisibenus
(PHILALIUS CORINTHIUS),urn:lofts:fhg.4.philalius_corinthius
PHILEMON,urn:lofts:fhg.4.philemon
PHILETAS EPHESIUS,urn:lofts:fhg.4.philetas_ephesius
PHILIPPUS THEANGELENSIS,urn:lofts:fhg.4.philippus_theangelensis
PHILLIS DELIUS,urn:lofts:fhg.4.phillis_delius
PHILISTIDES,urn:lofts:fhg.4.philistides
PHILISTUS NAUCRATITA,urn:lofts:fhg.4.philistus_naucratita
PHILOCRATES,urn:lofts:fhg.4.philocrates
PHILOMNESTUS,urn:lofts:fhg.4.philomnestus
PHILONIDES PHILOGENES,urn:lofts:fhg.4.philonides_philogenes
PHILTEAS,urn:lofts:fhg.4.philteas
PISISTRATUS LIPARAEUS,urn:lofts:fhg.4.pisistratus_liparaeus
POLYANTHUS CYRENAEUS,urn:lofts:fhg.4.polyanthus_cyrenaeus
POLYCHARMUS (NAUCRATITA),urn:lofts:fhg.4.polycharmus_naucratita
POLYCRATES,urn:lofts:fhg.4.polycrates
POLYGNOSTUS sive POLYGNOTUS,urn:lofts:fhg.4.polygnostus_sive_polygnotus
POLYZELUS RHODIUS,urn:lofts:fhg.4.polyzelus_rhodius
POSIDIPPUS,urn:lofts:fhg.4.posidippus
POSSIS MAGNESIUS,urn:lofts:fhg.4.possis_magnesius
PRAXION,urn:lofts:fhg.4.praxion
PROCLES CARTHAGINIENSIS,urn:lofts:fhg.4.procles_carthaginiensis
PROTAGORIDES CYZICENUS,urn:lofts:fhg.4.protagorides_cyzicenus
PROTARCHUS TRALLIANUS,urn:lofts:fhg.4.protarchus_trallianus
PTOLEMAEUS MENDESIUS,urn:lofts:fhg.4.ptolemaeus_mendesius
PYRRHANDER,urn:lofts:fhg.4.pyrrhander
PYRGION,urn:lofts:fhg.4.pyrgion
PYRRHO LIPARAEUS,urn:lofts:fhg.4.pyrrho_liparaeus
PYTHAENETUS,urn:lofts:fhg.4.pythaenetus
PYTHAGORAS,urn:lofts:fhg.4.pythagoras
PYTHERMUS EPHESIUS,urn:lofts:fhg.4.pythermus_ephesius
PYTHOCLES SAMIUS,urn:lofts:fhg.4.pythocles_samius
SCAMON MYTILENAEUS,urn:lofts:fhg.4.scamon_mytilenaeus
SCYTHINUS TEIUS,urn:lofts:fhg.4.scythinus_teius
SELEUCUS EMESENUS,urn:lofts:fhg.4.seleucus_emesenus
SEMERONIUS BABYLONIUS,urn:lofts:fhg.4.semeronius_babylonius
SEMUS DELIUS,urn:lofts:fhg.4.semus_delius
SOCRATES ARGIVUS,urn:lofts:fhg.4.socrates_argivus
SOCRATES COUS,urn:lofts:fhg.4.socrates_cous
SOSANDER,urn:lofts:fhg.4.sosander
SOSICRATES,urn:lofts:fhg.4.sosicrates
SOSICRATES RHODIUS,urn:lofts:fhg.4.sosicrates_rhodius
SOSTHENES CNIDIUS,urn:lofts:fhg.4.sosthenes_cnidius
SOSTRATUS,urn:lofts:fhg.4.sostratus
STAPHYLUS NAUCRATITA,urn:lofts:fhg.4.staphylus_naucratita
STESICLIDES ATHENIENSIS,urn:lofts:fhg.4.stesiclides_atheniensis
TELEPHANES,urn:lofts:fhg.4.telephanes
TELESARCHUS,urn:lofts:fhg.4.telesarchus
TEUCER CYZICENUS,urn:lofts:fhg.4.teucer_cyzicenus
TEUPALUS ANDRIENSIS,urn:lofts:fhg.4.teupalus_andriensis
THEAGENES (MACEDO),urn:lofts:fhg.4.theagenes_macedo
THEMISO,urn:lofts:fhg.4.themiso
THEMISTAGORAS EPHESIUS,urn:lofts:fhg.4.themistagoras_ephesius
THEOCLES,urn:lofts:fhg.4.theocles
THEODORI,urn:lofts:fhg.4.theodori
THEODORUS RHODIUS,urn:lofts:fhg.4.theodorus_rhodius
THEODORUS HIERAPOLITA,urn:lofts:fhg.4.theodorus_hierapolita
THEODORUS SAMOTHRAX,urn:lofts:fhg.4.theodorus_samothrax
THEODORUS ILIENSIS,urn:lofts:fhg.4.theodorus_iliensis
THEOGNIS,urn:lofts:fhg.4.theognis
THEOLYTUS (METHYMNAEUS),urn:lofts:fhg.4.theolytus_methymnaeus
THEOPHILUS,urn:lofts:fhg.4.theophilus
THEOTIMUS,urn:lofts:fhg.4.theotimus
THESEUS,urn:lofts:fhg.4.theseus
TIMAGETUS,urn:lofts:fhg.4.timagetus
TIMAGORAS,urn:lofts:fhg.4.timagoras
TIMOLAUS,urn:lofts:fhg.4.timolaus
TIMOMACHUS,urn:lofts:fhg.4.timomachus
TIMONAX,urn:lofts:fhg.4.timonax
TIMOTHEUS,urn:lofts:fhg.4.timotheus
URANIUS,urn:lofts:fhg.4.uranius
XENAGORAS,urn:lofts:fhg.4.xenagoras
XENION,urn:lofts:fhg.4.xenion
XENOCRATES,urn:lofts:fhg.4.xenocrates
XENOPHILUS,urn:lofts:fhg.4.xenophilus
ZENIS,urn:lofts:fhg.4.zenis
ZENODOTUS TROEZENIUS,urn:lofts:fhg.4.zenodotus_troezenius
ZOPYRION,urn:lofts:fhg.4.zopyrion
ZOPYRUS BYZANTIUS,urn:lofts:fhg.4.zopyrus_byzantius
JOANNES ANTIOCHENUS,urn:lofts:fhg.4.joannes_antiochenus
ARISTODEMUS,urn:lofts:fhg.5-1.aristodemus
EUSEBIUS,urn:lofts:fhg.5-1.eusebius
PRISCUS,urn:lofts:fhg.5-1.priscus
JOANNES ANTIOCHENUS,urn:lofts:fhg.5-1.joannes_antiochenus
JOANNES MALALA,urn:lofts:fhg.5-1.joannes_malala
CRITOBULUS,urn:lofts:fhg.5-1.critobulus
PHOTIUS,urn:lofts:fhg.5-1.photius
ANONYMUS,urn:lofts:fhg.5-1.anonymus
DIONYSIUS BYZANTIUS,urn:lofts:fhg.5-1.dionysius_byzantius
MAR APAS CATINA,urn:lofts:fhg.5-2.mar_apas_catina
BARDESANE,urn:lofts:fhg.5-2.bardesane
AGATHANGE,urn:lofts:fhg.5-2.agathange
FAUSTUS DE BYZANCE,urn:lofts:fhg.5-2.faustus_de_byzance
LEROUBNA D'EDESSE,urn:lofts:fhg.5-2.leroubna_d_edesse
ZENOB DE GLAG,urn:lofts:fhg.5-2.zenob_de_glag
JEAN MAMIGONIEN,urn:lofts:fhg.5-2.jean_mamigonien
MOISE DE KHORENE,urn:lofts:fhg.5-2.moise_de_khorene
LE PSEUDO-CALLISTHENES,urn:lofts:fhg.5-2.le_pseudo-callisthenes
GREGOIRE MAGISTROS DUC DE LA MESOPOTAMIE,urn:lofts:fhg.5-2.gregoire_magistros_duc_de_la_mesopotamie
SAINT EPIPHANE EVEQUE DE SALAMINE EN CHYPRE,urn:lofts:fhg.5-2.saint_epiphane_eveque_de_salamine_en_chypre
